id,Year,Author,Title
1,2001,"Martel,Yann",LifeofPi
2,2002,"Kidd,SueMonk",TheSecretLifeofBees
3,2002,"Sebold,Alice",LovelyBones
4,2003,"Hosseini,Khaled",TheKiteRunner
5,2004,"Mitchell,David",CloudAtlas
6,2004,"Picoult,Jodi",MySistersKeeper
7,2005,"Connelly,Michael",TheLincolnLawyer
8,2005,"Gardner,Lisa",Alone
9,2005,"Giffin,Emily",SomethingBorrowed
10,2005,"Larsson,Stieg",TheGirlWithTheDragonTattoo
11,2005,"SafranFoer,Jonathan",ExtremelyLoudandIncrediblyClose
12,2006,"Brooks,Max",WorldWarZ
13,2006,"Gruen,Sara",WaterforElephants
14,2006,"Jacobs,Kate",FridayNightKnitting
15,2006,"Larsson,Stieg",TheGirlWhoPlayedWithFire
16,2006,"Sparks,Nicholas",DearJohn
17,2007,"deRosnay,Tatiana",SarahsKey
18,2007,"Diaz,Junot",TheBriefWondrousLifeofOscarWao
19,2007,"Follett,Ken",WorldWithoutEnd
20,2007,"Hosseini,Khaled",AThousandSplendid
21,2007,"Larsson,Stieg",TheGirlWhoKickedThe Hornet'sNest
22,2007,"Young,WilliamP.",TheShack
23,2008,"Akpan,Uwem",SayYoureOne
24,2008,"Beck,Glenn",ChristmasSweater
25,2008,"Benioff,David",CityofThieves
26,2008,"Cleave,Chris",LittleBee
27,2008,"Cornwell,Patricia",Scarpetta
28,2008,"Grisham,John",TheAppeal
29,2008,"Hannah,Kristin",FireflyLane
30,2008,"Hilderbrand,Elin",Barefoot
31,2008,"Meyer,Stephanie",TheHost
32,2008,"Patterson,James",CrossCountry
33,2008,"Patterson,James",SundaysatTiffanys
34,2008,"Shaffer,MaryAnn",TheGuernseyLiteraryandPotatoPeelPie
35,2008,"Sittenfeld,Curtis",AmericanWife
36,2008,"Sparks,Nicholas",TheLuckyOne
37,2008,"Stein,Garth",TheArtofRacingintheRain
38,2008,"Strout,Elizabeth",OliveKItteridge
39,2008,"Wroblewski,David",TheStoryofEdgarSawtelle
40,2009,"Blake,Sarah",Postmistress
41,2009,"Brown,Dan",TheLostSymbol
42,2009,"Conroy,Pat",SouthofBroad
43,2009,"Goolrick,Robert",AReliableWife
44,2009,"Grahame-Smith,Seth",PrideandPrejudiceandZombies
45,2009,"Grisham,John",TheAssociate
46,2009,"King,Stephen",UndertheDome
47,2009,"Nicholls,David",OneDay
48,2009,"Patterson,James",8thConfession
49,2009,"Patterson,James",RunForYourLife
50,2009,"Patterson,James",SwimSuit
51,2009,"Roberts,Nora",VisioninWhite
52,2009,"Sparks,Nicholas",TheLastSong
53,2009,"Stockett,Kathryn",TheHelp
54,2009,"Verghese,Abraham",CuttingforStone
55,2009,"Walls,Jeannette",HalfBroke
56,2009,"Weiner,Jennifer",BestFriendsForever
57,2010,"Clancy,Tom",DeadorAlive
58,2010,"Donoghue,Emma",Room
59,2010,"Egan,Jennifer",AVisitFromtheGoon
60,2010,"Franzen,Jonathan",Freedom
61,2010,"Grahame-Smith,Seth",AbrahamLincoln-VampireHunter
62,2010,"Hannah,Kristin",WinterGarden
63,2010,"Obreht,Tea",TheTigersWife
64,2010,"Patterson,James",9thJudgment
65,2010,"Patterson,James",CrossFire
66,2010,"Picoult,Jodi",HouseRules
67,2010,"Roberts,Nora",SavortheMoment
68,2010,"Sandford,John",StolenPrey
69,2010,"Sparks,Nicholas",SafeHaven
70,2011,"Auel,JeanM.",TheLandofPaintedCaves
71,2011,"Baldacci,David",OneSummer
72,2011,"Baldacci,David",TheSixthMan
73,2011,"Baldacci,David",ZeroDay
74,2011,"Brown,Sandra",Lethal
75,2011,"Chan,Darcie",TheMillRiverRecluse
76,2011,"Child,Lee",TheAffair
77,2011,"Clancy,Tom",AgainstAllEnemies
78,2011,"Clancy,Tom",LockedOn
79,2011,"Clark,MaryHiggins",IllWalkAlone
80,2011,"Connelly,Michael",TheDrop
81,2011,"Connelly,Michael",TheFifthWitness
82,2011,"Cussler,Clive",Jungle
83,2011,"Eugenides,Jeffrey",MarriagePlot
84,2011,"Evanovich,Janet",ExplosiveEighteen
85,2011,"Evanovich,Janet",SmokinSeventeen
86,2011,"Gardner,Lisa",LoveYouMore
87,2011,"Grafton,Sue",VisForVengeance
88,2011,"Grisham,John",TheLitigators
89,2011,"Harkness,Deborah",DiscoveryofW
90,2011,"Harris,Charlaine",DeadReckoning
91,2011,"James,EL",FiftyShadesofGrey
92,2011,"James,PD",DeathComestoPemberley
93,2011,"King,Stephen",112263
94,2011,"King,Stephen",DoctorSleep
95,2011,"Martin,George",ADancewithDragons
96,2011,"Morgenstern,Erin",NightCircus
97,2011,"Patchett,Ann",StateofWonder
98,2011,"Patterson,James",10thAnniversary
99,2011,"Patterson,James",ChristmasWedding
100,2011,"Patterson,James",KillAlexCross
101,2011,"Patterson,James",KillMeIfYouCan
102,2011,"Patterson,James",NowYouSeeHer
103,2011,"Patterson,James",TickTock
104,2011,"Patterson,James",Toys
105,2011,"Picoult,Jodi",SingYouHome
106,2011,"Preston,Douglas",ColdVengeance
107,2011,"Roberts,Nora",ChasingFire
108,2011,"Roberts,Nora",TheNextAlways
109,2011,"Rothfuss,Patrick",WiseMansFear
110,2011,"Sandford,John",BuriedPrey
111,2011,"Sparks,Nicholas",TheBestofMe
112,2011,"Thor,Brad",FullBlack
113,2012,"Albom,Mitch",TimeKeeper
114,2012,"Baldacci,David",TheForgotten
115,2012,"Baldacci,David",TheInnocent
116,2012,"Binchy,Maeve",AWeekinWinter
117,2012,"Child,Lee",AWantedMan
118,2012,"Clancy,Tom",ThreatVector
119,2012,"Connelly,Michael",TheBlackBox
120,2012,"Day,Sylvia",BaredtoYou
121,2012,"Day,Sylvia",ReflectedinYou
122,2012,"DeMille,Nelson",ThePanther
123,2012,"Evanovich,Janet",NotoriousNineteen
124,2012,"Evanovich,Janet",WickedBusiness
125,2012,"Flynn,Gillian",GoneGirl
126,2012,"Flynn,Vince",KillShot
127,2012,"Flynn,Vince",TheLastMan
128,2012,"Follett,Ken",WinteroftheWorld
129,2012,"Giffin,Emily",WhereWeBelong
130,2012,"Grisham,John",CalicoJoe
131,2012,"Grisham,John",TheConfession
132,2012,"Grisham,John",TheRacketeer
133,2012,"Harris,Charlaine",Deadlocked
134,2012,"Hoover,Colleen",Hopeless
