GT SKU,New SKU,350 Loc,Warehouse Qty,Forecasted Quantity,Item Cube,CuFt/Day
26359737,60317858,0,52,335061,7.875,100.7
26483737,62409025,0,15014,20118,32.625,25
26488614,62378835,0,10382,15400,32.625,19.2
26393062,60636992,2,16907,15174,32.625,18.9
26483730,61788007,0,10744,14600,32.625,18.2
26487386,61788017,0,567,12909,32.625,16.1
26410944,60739272,0,9173,12317,32.625,15.3
26487394,62409032,0,1257,12156,32.625,15.1
26139575,59326743,0,0,11861,4.5,2
26488610,61788018,0,6442,11071,32.625,13.8
26495972,61787971,0,0,10637,32.625,13.2
26488612,62378833,0,13547,10206,32.625,12.7
26488613,62378834,0,8989,9708,32.625,12.1
26483731,61788006,0,11080,7973,32.625,9.9
26410946,60739273,0,3302,7651,31.68,9.2
26416317,61787924,0,3821,7286,32.625,9.1
26353200,60379950,0,7848,7164,29.9062,8.2
26438803,60730169,0,0,7095,5.0625,1.4
26487391,62409027,0,5872,6167,32.625,7.7
26487393,62409028,0,5230,6138,32.625,7.6
26299738,60907096,0,-4,6133,81.2813,19
26474053,61788003,0,447,6006,28.125,6.4
26487385,61788016,0,13671,5822,32.625,7.2
26470439,61788014,0,0,5774,28.125,6.2
26416311,61787922,0,9004,5656,32.625,7
26393064,60636981,1,10560,5629,32.625,7
26468309,61787985,0,18718,5379,32.625,6.7
26468313,61788000,0,14677,5356,32.625,6.7
26488615,62378836,0,8816,5336,32.625,6.6
26416319,61787926,0,9421,4965,32.625,6.2
26393063,60636985,1,16559,4938,32.625,6.1
26455859,62167982,0,15689,4675,32.625,5.8
26353220,60379946,0,3287,4346,32,5.3
26439896,61652211,0,9035,4089,31,4.8
26474055,61788005,0,0,3938,28.125,4.2
26393067,60636994,0,4363,3911,32.625,4.9
26397324,60907099,3,10272,3900,7.875,1.2
26393066,60636993,1,15766,3874,32.625,4.8
26468311,61787999,0,13225,3784,32.625,4.7
26468312,61787986,0,17481,3732,32.625,4.6
26412381,61269068,0,9088,3694,22.9687,3.2
26393065,60636986,0,10855,3654,32.625,4.5
26468308,61787997,0,10043,3638,32.625,4.5
26401944,61134695,0,0,3615,30,4.1
26474057,61788004,0,0,3561,28.125,3.8
26438528,61619842,0,5049,3552,31,4.2
26468310,61787998,0,10133,3539,32.625,4.4
26438825,61950781,0,20139,3510,32.625,4.4
26553741,63149897,0,6144,3479,-1,-0.1
26553736,63149896,0,7776,3473,-1,-0.1
26529500,61995457,0,2400,3442,31,4.1
26438823,61950776,2,28280,3351,32.625,4.2
26353202,60379958,1,2775,3351,29.9062,3.8
26353210,60379953,1,11831,3307,33,4.2
26412388,61269070,0,7113,3296,22.9687,2.9
26553493,63149895,0,3168,3269,-1,-0.1
26394689,60970947,1,6536,3244,7.875,1
26414639,60846461,0,3096,3200,31,3.8
26412412,62249455,0,10515,3101,22.9687,2.7
26248637,60583831,1,7200,3052,31,3.6
26499664,62387153,0,2607,2951,81.2812,9.2
26518375,62387139,0,1598,2951,81.2812,9.2
26410945,60739266,1,13839,2889,32.625,3.6
26487364,62387146,0,1427,2844,81.2812,8.8
26489719,62387162,0,0,2776,81.2812,8.6
26412414,62249454,0,3975,2728,22.9687,2.4
26412385,61269061,0,6141,2725,22.9687,2.4
26358678,59688671,0,5896,2708,7.875,0.8
26495798,62387133,0,-1,2683,81.2812,8.3
26470441,61788015,0,1158,2675,28.125,2.9
26395948,60907097,0,4168,2668,7.875,0.8
26412411,62249458,0,9174,2629,22.9687,2.3
22486920,59284113,1,7596,2629,28.2,2.8
26397343,60970936,1,7858,2622,7.875,0.8
26353230,60379937,0,4769,2614,24,2.4
26553735,63149885,0,4224,2571,-1,-0.1
26416309,61787923,0,10655,2539,32.625,3.2
26495795,62387132,0,1912,2537,81.2812,7.9
26459591,61269079,0,10521,2531,81.2812,7.8
26499663,62387152,0,5571,2522,81.2812,7.8
26416308,61787925,0,11037,2514,32.625,3.1
26434224,61995502,0,3840,2507,31,3
26487392,62409026,0,10477,2469,32.625,3.1
26400331,60618221,0,3840,2467,31,2.9
26408211,60739264,0,5006,2424,32.625,3
26518374,62387135,0,2156,2414,81.2812,7.5
26517198,62124199,0,894,2352,7.875,0.7
26412416,62249453,0,3270,2350,22.9687,2.1
26438827,61950777,0,4996,2342,32.625,2.9
26499672,62387134,0,0,2253,81.2812,7
26553488,63149888,0,3936,2246,-1,-0.1
26412383,61269059,0,5890,2240,22.9687,2
26438467,61250870,0,5896,2224,7.875,0.7
26502467,62338685,0,4911,2217,-1,-0.1
26410273,61373219,0,25315,2190,81.2813,6.8
26495799,62387158,0,60,2190,81.2812,6.8
26526266,62124203,0,9049,2151,7.875,0.6
26412387,61269062,0,5153,2147,22.9687,1.9
26416316,61787927,0,3313,2110,32.625,2.6
26533755,62167980,0,2686,2105,32.625,2.6
26413919,60898645,0,2068,2098,31,2.5
26397348,60970937,0,4161,2088,3.5,0.3
26311425,59860006,0,5048,2080,29.9062,2.4
26353204,60379945,0,1060,2068,29.9062,2.4
26489717,62387160,0,2956,2067,81.2812,6.4
26412408,61462085,0,5199,2065,22.9687,1.8
26459581,61269076,0,7458,2045,81.2812,6.3
26237209,59294062,0,2101,2043,29.9062,2.3
26400285,61230577,0,4192,2034,7.875,0.6
26353222,60379960,0,2044,2031,46.2,3.6
26412390,61269072,0,4051,2025,22.9687,1.8
26438824,61950778,0,8669,2004,32.625,2.5
26397314,60970930,3,3981,1998,3.5,0.3
26536831,62571644,0,1084,1992,7.875,0.6
26412380,61269058,0,2318,1978,22.9687,1.7
26408209,60739263,0,2434,1973,32.625,2.5
26434223,61995501,0,3840,1959,31,2.3
26449916,62176154,0,5250,1951,40.6875,3
26394692,60907133,1,9149,1946,7.875,0.6
26250870,59294043,0,1368,1935,31,2.3
26429564,61462077,0,2167,1932,22.9687,1.7
26412399,61462088,0,2399,1930,22.9687,1.7
26412405,61462083,0,3684,1928,22.9687,1.7
26211669,60840947,0,5587,1887,31,2.2
26495796,62387157,0,264,1880,81.2812,5.8
26489721,62387163,0,6781,1880,81.2812,5.8
26489718,62387161,0,2752,1880,81.2812,5.8
26455070,61674205,0,3568,1879,40.6875,2.9
26499673,62387155,0,4,1878,81.2812,5.8
26081448,59301864,0,6430,1864,24,1.7
26449931,62176153,0,1750,1840,-1,-0.1
26553814,63149899,0,3072,1838,-1,-0.1
26434227,61995459,0,2400,1807,-1,-0.1
26517197,62124201,0,4662,1794,7.875,0.5
26434253,61995451,0,2400,1777,-1,-0.1
26487363,62387141,0,1615,1765,81.2812,5.5
26255268,59326786,0,4790,1757,31,2.1
26495797,62387136,0,1916,1751,81.2812,5.4
26066469,59363088,0,2340,1750,31,2.1
26400330,60618232,0,1453,1695,31,2
26553487,63149887,0,3072,1693,-1,-0.1
26487232,61774002,0,5518,1677,7.875,0.5
26553742,63149886,0,5280,1667,-1,-0.1
26517161,62387138,0,0,1663,81.2812,5.2
26177563,59459603,1,10450,1660,29.9063,1.9
26470669,62176197,0,1750,1655,-1,-0.1
26526269,62124204,0,4697,1654,7.875,0.5
26353201,60379944,0,1468,1648,29.9063,1.9
26419428,60739280,1,7562,1646,32.625,2
26527312,62124200,0,4047,1639,7.875,0.5
23299329,59320722,1,3945,1634,28,1.7
26434252,61995446,0,2400,1609,-1,-0.1
26502533,62218542,0,6907,1600,-1,-0.1
26397334,60907100,0,5512,1585,7.875,0.5
26400298,60778261,0,1391,1574,29.9062,1.8
26412384,61269060,0,3169,1572,26.25,1.6
26447047,62083060,0,0,1564,32,1.9
26353212,60379947,0,2459,1548,33,1.9
26412409,61462092,0,3906,1545,22.9687,1.4
26397316,60970923,1,1859,1513,7.875,0.5
26532291,62571643,0,4762,1492,7.875,0.4
26244622,59305286,0,3846,1492,31,1.8
26494220,62454009,0,5760,1489,-1,-0.1
26553818,63149898,0,2112,1487,-1,-0.1
26353203,60379951,0,3796,1472,33.75,1.9
26553739,63149877,0,2112,1470,-1,-0.1
26487360,62387147,0,1925,1466,81.2812,4.5
26393537,60656288,1,23004,1459,31,1.7
26553491,63149889,0,3072,1458,-1,-0.1
26553738,63149902,0,3072,1458,-1,-0.1
24401762,59288346,0,5351,1443,25.3125,1.4
26434222,61995448,0,4800,1416,-1,-0.1
26475539,62462427,0,0,1416,-1,-0.1
26526265,62124202,0,6405,1409,7.875,0.4
26397340,60970926,1,6345,1409,3.5,0.2
26489713,62444558,0,0,1402,81.2813,4.3
26397339,60907101,0,10704,1383,7.875,0.4
26438459,61230571,0,8238,1383,7.875,0.4
26526739,62415445,0,13829,1377,32.625,1.7
26438802,60739278,0,8924,1366,32.625,1.7
26438828,61950782,1,9780,1364,32.625,1.7
26400299,60778262,0,1490,1362,29.9062,1.6
26449926,62176158,0,3500,1359,40.6875,2.1
26411736,60970962,0,0,1359,3.5,0.2
26393077,60692971,0,3051,1328,31,1.6
26553733,63149904,0,1536,1324,-1,-0.1
26394687,60907120,0,2140,1321,7.875,0.4
26291952,59310637,0,3987,1320,29.9062,1.5
26553734,63149901,0,2304,1315,-1,-0.1
26398847,60637005,0,3563,1311,31,1.6
26398846,60637004,1,2659,1311,31,1.6
26434226,61995450,0,2400,1310,-1,0
26447046,62083062,0,-64,1310,31,1.5
26480834,62124227,0,24,1307,31,1.5
26487216,61774003,0,2854,1280,7.875,0.4
26311429,59818460,0,3605,1277,20,1
26412401,61462081,0,2860,1272,22.9687,1.1
26395946,60879233,1,5606,1267,7.875,0.4
26394695,60970914,0,4243,1263,3.5,0.2
26527339,62415454,0,10321,1257,32.63,1.6
26267868,59972164,0,2918,1255,20,1
26412400,61462089,0,1155,1255,22.9687,1.1
26353224,60379948,0,179,1248,46.5,2.2
26489715,62387159,0,0,1240,81.2813,3.8
26499674,62387156,0,0,1234,81.2812,3.8
26533096,62571642,0,3672,1229,7.875,0.4
26353232,60379928,0,754,1224,24,1.1
26459588,61269064,0,2975,1209,81.2813,3.7
26555584,62747562,0,11522,1183,-1,0
26411733,60907137,0,11823,1182,7.875,0.4
26268190,59307097,0,2518,1179,46.5,2.1
26088369,59285096,0,4608,1179,31.5,1.4
26088370,59282688,1,5664,1178,24,1.1
26412415,62249452,0,3449,1174,22.9687,1
26397327,60970925,0,5776,1170,7.875,0.4
26553740,63149872,0,1824,1166,-1,0
26199702,59309894,0,2112,1160,80.7576,3.6
26499656,62454024,0,3840,1159,-1,0
26553743,63149890,0,672,1151,-1,0
26403504,60778259,0,1307,1148,33.75,1.5
26395944,60907123,0,13624,1145,7.875,0.3
26211647,59310450,0,0,1144,28.125,1.2
26526742,62415433,0,8635,1137,-1,0
26526749,62898954,0,5010,1137,-1,0
26490260,62462395,0,5760,1122,-1,0
26475534,62462428,0,1750,1116,-1,0
26454550,61259767,0,3066,1115,7.875,0.3
26081449,59283742,1,2908,1110,24,1
26299517,60794716,0,1486,1105,81.2812,3.4
26459586,61269085,0,2959,1096,81.2812,3.4
26449917,62176160,0,3379,1092,40.6875,1.7
26480505,62022641,0,4800,1091,31,1.3
26449927,61787934,0,3500,1083,40.6875,1.7
26533486,62415432,0,10344,1078,32.63,1.3
26502780,62409005,0,1141,1078,-1,0
26499665,62387154,0,293,1073,49,2
26449920,62176159,0,2345,1072,-1,0
26413481,60879236,0,4294,1069,7.875,0.3
26397341,60970935,0,1226,1069,7.875,0.3
26526277,62699837,0,3607,1065,-1,0
26455068,61674204,0,3997,1063,23.4375,1
26459579,61269081,0,4614,1060,81.2812,3.3
26447067,61871268,0,3583,1051,29.9062,1.2
26553498,62747570,0,9408,1031,-1,0
26533095,62571641,0,2361,1024,7.875,0.3
26177564,59459586,0,4084,1020,20,0.8
26447068,61871270,0,2183,1018,29.9062,1.2
26311427,59818464,0,5409,1018,40.6875,1.6
26526741,62415436,0,6809,1018,-1,0
26502777,62409009,0,6389,1018,32.625,1.3
26502781,62409006,0,3189,1018,-1,0
26164763,59278889,0,2511,1015,31,1.2
26282783,59327894,1,3196,1001,40.6875,1.6
26447051,62083063,0,0,1001,40.6875,1.6
26394688,60970960,1,3449,998,7.875,0.3
26480805,62124233,0,163,998,31,1.2
26459590,61269065,0,4387,996,81.2812,3.1
26353221,60379956,0,3030,994,32,1.2
26494221,62454005,0,3840,993,-1,0
26360593,60692983,0,1154,993,31,1.2
26438526,61619848,0,2200,990,23.4375,0.9
26394690,60970920,0,3984,983,3.5,0.1
26449918,62176163,0,0,980,40.69,1.5
26395950,60907098,0,5281,978,7.875,0.3
26412395,61462078,0,4373,977,22.9687,0.9
26487475,62454029,0,3840,977,-1,0
26394691,60907134,0,3851,975,7.875,0.3
26434225,61995449,0,2400,966,31,1.1
26499675,62387137,0,9,966,81.2812,3
26447066,61871266,0,2700,965,29.9062,1.1
26526740,62415434,0,8650,958,-1,0
26513342,62409022,0,3206,958,-1,0
26478190,62031014,0,2783,953,81.2812,3
26412417,62249459,0,1744,953,22.9687,0.8
26353214,60379959,0,238,953,33,1.2
26401906,60778275,0,1216,949,40.6875,1.5
26412343,61205509,0,2032,947,81.2812,2.9
26487227,61774007,0,0,945,7.875,0.3
26360570,60692980,0,1467,941,24.375,0.9
26421284,61230576,0,7295,940,7.875,0.3
26266713,59297598,0,3796,935,23.4375,0.8
26459589,61269078,0,4849,924,81.2812,2.9
26402517,61425083,0,7464,922,31,1.1
26449928,61787930,0,2905,920,40.69,1.4
26307893,59304071,0,9,918,31,1.1
26400099,61425089,0,1882,911,26.8125,0.9
26362302,60692991,0,3846,903,40.6875,1.4
26250866,60241929,0,3985,901,24.375,0.8
26522840,62409021,0,10560,898,32.625,1.1
26502779,62409004,0,2837,898,-1,0
26412397,61462079,0,1102,897,22.9687,0.8
26555581,62747560,0,9504,896,-1,0
26275500,59307188,2,947,894,40.6875,1.4
21980239,59363086,0,3485,891,24.375,0.8
26438524,61619840,0,1317,889,24.375,0.8
26353223,60379936,1,810,887,46.5,1.6
26459580,61269066,0,3792,886,81.2812,2.7
26360580,60692994,0,3152,880,23.4375,0.8
26397325,60907122,0,7090,876,7.875,0.3
26487476,62454030,0,3840,872,-1,0
26536756,62764318,0,15168,864,-1,0
26555573,62747559,0,4605,861,-1,0
26397309,60907121,0,4231,856,7.875,0.3
26553496,62747557,0,6931,854,-1,0
26408210,60739275,0,10957,852,32.625,1.1
26414635,60828068,0,1988,845,24.375,0.8
26502778,62409008,0,5140,838,-1,0
26412625,61002127,0,13928,837,31,1
26452991,61851894,0,2433,829,81.2812,2.6
26337493,62054504,0,3192,829,32,1
26397329,60970932,1,7149,827,7.875,0.2
26498925,62454010,0,1920,824,-1,0
26401907,60778267,0,702,821,40.6875,1.3
26536765,62764327,0,11814,821,-1,0
26240420,62193829,0,586,816,31,1
26270017,59364401,0,4710,813,39.2699,1.2
26267872,59972163,0,3691,811,20,0.6
26555585,62747563,0,4605,804,-1,0
26459578,61269082,0,5176,803,81.2812,2.5
26261570,62218536,0,2214,796,31,0.9
26502782,62409007,0,1659,778,-1,0
24642540,59293619,1,8,774,28.125,0.8
26203995,59300771,1,3974,774,7.875,0.2
26449922,62176151,0,1750,765,40.6875,1.2
26267888,59326429,0,3208,764,46.5,1.4
26353211,60379954,0,883,760,33,1
26398851,60637006,0,3097,759,40.6875,1.2
26398850,60637010,1,2240,759,40.6875,1.2
26410280,61373218,0,5652,753,81.2812,2.3
26353234,60379940,0,966,752,24,0.7
26410279,61373220,0,2679,745,81.2812,2.3
26498926,62453998,0,1920,740,-1,0
26449925,62176162,0,1750,736,40.69,1.1
26266711,59325863,0,1988,732,24.375,0.7
26391046,60637027,0,2692,729,40.6875,1.1
26459585,61269083,0,5793,728,81.2812,2.3
26401902,60778266,0,1617,727,28.3594,0.8
26393539,60656292,0,7550,715,40.6875,1.1
26449923,62176152,0,1750,712,40.6875,1.1
26459582,61269075,0,5139,709,81.2812,2.2
26480513,62022645,0,4320,702,-1,0
26544277,62804981,0,5918,701,-1,0
26248634,59688659,0,2636,699,23.4375,0.6
26459587,61269063,0,2026,693,56,1.5
26403500,60778272,0,1613,692,40.6875,1.1
26480787,61269080,0,4923,689,80.7576,2.1
26255274,59294056,0,4881,683,24.375,0.6
26353213,60379952,0,2003,679,33,0.9
26410275,61373217,0,1925,672,56,1.4
26440730,60870289,0,4628,668,0.8999,0
26411735,61112062,0,5286,662,7.875,0.2
26544275,62804979,0,8107,655,-1,0
26487361,62387140,1,936,652,81.2812,2
26487365,62387142,0,909,652,81.2812,2
26487362,62387145,0,406,652,81.2812,2
26282785,59305292,0,376,647,40.6875,1
26447061,61871262,0,2556,645,20,0.5
26235164,59331198,0,0,644,28.125,0.7
26291736,59546546,0,4740,639,29.9062,0.7
26054749,59326947,0,0,639,33.75,0.8
26487399,62454021,0,1470,638,11.8125,0.3
26236597,59309253,0,0,633,23.4375,0.6
26244610,59306279,0,1938,632,24.375,0.6
26401903,60778263,0,841,630,33,0.8
26357103,59719919,0,2143,625,24.375,0.6
26455066,61674203,0,1024,624,26.8125,0.6
26447063,61871264,0,655,624,20,0.5
26555586,62747566,0,4689,623,-1,0
26449919,62176164,0,1750,619,40.6875,1
26236595,59331160,0,2320,609,24.375,0.6
26468799,62124211,0,5602,607,-1,0
26531868,62764308,0,7504,607,81.2812,1.9
26449035,61259771,0,424,603,8,0.2
26447039,62083064,0,0,601,26.8125,0.6
26353231,60379938,0,667,600,24,0.5
26522836,62409020,0,8947,599,32.625,0.7
26522837,62409010,0,7028,599,-1,0
26362303,60692985,0,5010,596,40.6875,0.9
26447060,61871253,0,2869,592,21,0.5
26240389,59325862,0,10,591,23.4375,0.5
26449924,62176157,0,1750,590,40.6875,0.9
24642536,59293617,1,8,588,28.125,0.6
26194284,59327940,0,2896,588,28,0.6
26297849,61205554,0,2555,584,30,0.7
26300693,59654801,0,2364,583,24.375,0.5
25129998,59385531,0,183,581,10.8,0.2
26401914,60778268,0,778,574,24,0.5
26459583,61269077,0,1933,572,81.2812,1.8
26526283,62699834,0,3299,566,27.5,0.6
26526279,62699838,0,3067,566,27.5,0.6
26398843,60637003,1,3279,561,26.8125,0.6
26398842,60637000,0,3091,561,24.375,0.5
26413915,60898644,0,2920,559,29.9062,0.6
26480507,62022643,0,1764,551,-1,0
26244616,59305283,0,0,551,23.4375,0.5
26402511,61425082,0,2151,549,23.4375,0.5
26555561,62747567,0,7032,545,-1,0
26235739,59328244,0,2320,545,80.7576,1.7
26434240,61205549,0,3757,544,81.2812,1.7
26474722,62117116,0,1166,537,-1,0
26353233,60379939,0,571,536,24,0.5
26261581,60344173,0,2129,532,23.4375,0.5
26398798,60778258,0,3857,530,33,0.7
26066473,59326862,0,1947,525,24.375,0.5
26518050,62898963,0,720,520,-1,0
26490300,62454035,0,1643,520,11.8125,0.2
26307899,59331287,0,2114,519,24.375,0.5
26412626,61002135,0,0,515,40.6875,0.8
26285730,59537410,1,3,515,25.3125,0.5
26447056,61871258,0,3324,514,32,0.6
26555572,62747565,0,4752,513,-1,0
26480730,61082076,0,1010,509,12.25,0.2
26455708,61023892,0,1373,508,12.6562,0.2
26555565,62747573,0,1368,506,-1,0
26402505,61425092,0,0,505,40.6875,0.8
26447058,61871260,0,47,498,40.6875,0.8
26401915,60778269,0,551,497,24,0.5
26211649,59327922,1,1,493,28.125,0.5
26558903,62747568,0,4752,493,-1,0
26414637,60828070,0,1436,488,23.4375,0.4
26338200,60344168,0,1651,488,23.4375,0.4
26194278,59328001,0,3883,480,36,0.7
26251168,59306460,0,0,476,32.625,0.6
26339136,60721772,0,3240,475,40.6875,0.7
26455709,61023893,0,502,474,12.6562,0.2
26447054,61871256,0,5646,472,40.6875,0.7
26076583,59306995,1,5,469,32.625,0.6
26265957,59307027,0,595,469,46.5,0.8
26544290,62821758,0,3656,468,-1,0
26544278,62804989,0,3251,468,-1,0
26354088,61898005,0,2160,459,-1,0
26426977,61160969,0,9052,456,26.4687,0.5
26400315,60618227,0,1728,455,24.375,0.4
26440741,60870283,0,1707,445,0.9,0
26544279,62804988,0,9432,444,-1,0
26393543,60656286,0,8258,444,24.375,0.4
26544289,62821757,0,2087,444,-1,0
26452993,61851895,0,1020,442,81.2812,1.4
26164751,59276564,1,7651,442,23.4375,0.4
26440785,62890775,0,0,440,-1,0
26528502,63020029,0,2160,439,-1,0
26300695,59654798,0,1762,437,23.4375,0.4
26536754,62764316,0,2830,432,-1,0
26475520,61787967,0,216,431,-1,0
26555564,62747558,0,4752,428,-1,0
